Item No.,Class,Prod Head,Item Desc.,UPC,U/M,Min. Qty,Packed,Retail Pack,Case Pack,Unit Weight, Price , Each Price , Retail ,Profit %,UPC 1,UPC 2,UPC 3,UPC 4,Stamp Tax 1,Stamp Tax 2,Stamp Tax 3,Stamp Tax 4,Stamp Tax 5,Allowance $,Category,Qmult,Custom Category,,,,,
100040,0,1000,CAMEL FILTER BOX,12300000031,CAR,,00010 EA,10 CAR,60,0.6, $81.89 , $8.18 , $9.94 ,17.6,12300000031,12300103138,12300305921,30702,28.7,0,0,0,0,0,10,10,10,CIG,,,10,CIG
100057,0,1000,CAMEL BLUE BOX FSC,12300000079,CAR,,00010 EA,10 CAR,60,0.6, $81.89 , $8.18 , $9.94 ,17.6,12300000079,12300107136,12300305945,30704,28.7,0,0,0,0,0,10,10,10,CIG,,,20,TOB
100107,0,1000,MARLBORO RED KS BOX,28200003577,CAR,,00010 EA,10 CAR,60,1.2, $81.09 , $8.10 , $9.64 ,15.9,28200003577,28200135704,28200035707,27561,28.7,0,0,0,0,0,10,10,10,CIG,,,30,SMAK
100115,0,1000,MARLBORO GOLD KS BOX,28200003843,CAR,,00010 EA,10 CAR,60,1.2, $81.09 , $8.10 , $9.64 ,15.9,28200003843,28200138408,28200038401,27563,28.7,0,0,0,0,0,10,10,10,CIG,,,40,HBC
100131,0,1000,NEWPORT BOX,26100005752,CAR,,00010 EA,10 CAR,60,0.6, $87.00 , $8.70 , $10.54 ,17.5,26100005752,26100805758,1.00261E+13,32431,28.7,0,0,0,0,0,10,10,10,CIG,,,50,CDY
100149,0,1000,MARLBORO 72MM SILVER BX,28200003867,CAR,,00010 EA,10 CAR,30,0.6, $81.94 , $8.19 , $9.64 ,15,28200003867,28200138606,28200038661,27527,28.7,0,0,0,0,0,10,10,10,CIG,,,60,SNK
100156,0,1000,PARLIAMENT WHITE BOX,28200007841,CAR,,00010 EA,10 CAR,60,0.6, $86.89 , $8.69 , $10.24 ,15.2,28200007841,28200178404,28200078407,27598,28.7,0,0,0,0,0,10,10,10,CIG,,,70,BEV
100297,0,1000,MARLBORO 72MM GOLD BX,28200009654,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200009654,28200196507,28200096500,27525,28.7,0,0,0,0,0,10,10,10,CIG,,,80,GRO
100305,0,1000,MARLBORO 72MM RED BOX,28200009630,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200009630,28200196309,28200096302,27524,28.7,0,0,0,0,0,10,10,10,CIG,,,90,SUP
100370,0,1000,MARLBORO 72MM GREEN BX,28200009623,CAR,,00010 EA,10 CAR,30,0.6, $81.94 , $8.19 , $9.64 ,15,28200009623,28200196200,28200096265,27523,28.7,0,0,0,0,0,10,10,10,CIG,,,,
100511,0,1000,MARLBORO RED SOFT,28200003584,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200003584,28200135803,28200035806,27560,28.7,0,0,0,0,0,10,10,10,CIG,,,,
100636,0,1000,NEWPORT KINGS,26100005783,CAR,,00010 EA,10 CAR,30,0.6, $87.99 , $8.80 , $10.54 ,16.5,26100005783,26100805789,1.00261E+13,32430,28.7,0,0,0,0,0,10,10,10,CIG,,,,
101345,0,1000,NEWPORT 100 SOFT,26100005776,CAR,,00010 EA,10 CAR,30,0.63, $87.99 , $8.80 , $10.54 ,16.5,26100005776,26100805772,1.00261E+12,32435,28.7,0,0,0,0,0,10,10,10,CIG,,,,
101816,0,1000,MARLBORO RED 100 BOX,28200003638,CAR,,00010 EA,10 CAR,60,1.26, $81.09 , $8.10 , $9.64 ,15.9,28200003638,28200136305,28200036308,27569,28.7,0,0,0,0,0,10,10,10,CIG,,,,
101824,0,1000,MARLBORO GOLD 100 BOX,28200004659,CAR,,00010 EA,10 CAR,60,1.26, $81.09 , $8.10 , $9.64 ,15.9,28200004659,28200146502,28200046505,27571,28.7,0,0,0,0,0,10,10,10,CIG,,,,
101832,0,1000,NEWPORT BOX 100'S,26100005738,CAR,,00010 EA,10 CAR,60,0.63, $87.00 , $8.70 , $10.54 ,17.5,26100005738,26100805734,1.00261E+13,32436,28.7,0,0,0,0,0,10,10,10,CIG,,,,
102236,0,2245,NATS KINGS,50545915215,CTN,,00010 EA,10 CAR,30,0, $85.18 , $8.52 , $15.18 ,43.9,50545915215,50545915222,50545915239,,28.7,0,0,0,0,0,10,10,10,CIG,,,,
102251,0,2245,NATS BLUE KINGS,50545915277,CTN,,00010 EA,10 CAR,30,1, $85.18 , $8.52 , $15.18 ,43.9,50545915277,50545915284,50545915291,,28.7,0,0,0,0,0,10,10,10,CIG,,,,
102269,0,2245,NATS MENTHOL KINGS,50545915246,CTN,,00010 EA,10 CAR,30,0, $85.18 , $8.52 , $15.18 ,43.9,50545915246,50545915253,50545915260,,28.7,0,0,0,0,0,10,10,10,CIG,,,,
102707,0,1000,MARLBORO MENTHOL ICE BOX,28200009494,CAR,,00010 EA,10 CAR,30,0.72, $81.94 , $8.19 , $9.64 ,15,28200009494,28200194909,28200094964,,28.7,0,0,0,0,0,10,10,10,CIG,,,,
102970,0,1000,CAMEL CRUSH RICH BOX FSC,12300108744,CAR,,00010 EA,10 CAR,30,0.6, $82.64 , $8.26 , $9.94 ,16.9,12300108744,12300108751,12300108768,,28.7,0,0,0,0,0,10,10,10,CIG,,,,
103556,0,1000,MARLBORO MENTHOL GOLD BX 100,28200004710,CAR,,00010 EA,10 CAR,60,1.26, $81.94 , $8.19 , $9.64 ,15,28200004710,28200147103,28200047106,27576,28.7,0,0,0,0,0,10,10,10,CIG,,,,
103572,0,1000,MARLBORO MENTHOL GOLD BX,28200004017,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200004017,28200140104,28200040107,27564,28.7,0,0,0,0,0,10,10,10,CIG,,,,
104661,0,1000,CAMEL 99 FILTER BOX,12300200592,CAR,,00010 EA,10 CAR,60,0.6, $82.64 , $8.26 , $9.94 ,16.9,12300200592,12300259132,12300339643,30866,28.7,0,0,0,0,0,10,10,10,CIG,,,,
104711,0,1000,CAMEL 99 BLUE BX,12300200608,CAR,,00010 EA,10 CAR,60,0.6, $82.64 , $8.26 , $9.94 ,16.9,12300200608,12300260138,12300339650,30867,28.7,0,0,0,0,0,10,10,10,CIG,,,,
104737,0,1000,MARLBORO RED LABEL BX,28200003683,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200003683,28200136800,28200036803,27579,28.7,0,0,0,0,0,10,10,10,CIG,,,,
104968,0,1000,CAMEL WIDES FILTER BOX,12300707992,CAR,,00010 EA,10 CAR,60,0.6, $82.64 , $8.26 , $9.94 ,16.9,12300707992,12300707138,12300329668,30709,28.7,0,0,0,0,0,10,10,10,CIG,,,,
105247,0,1000,MARLBORO RED LABEL BOX 100,28200003690,CAR,,00010 EA,10 CAR,60,1.26, $81.94 , $8.19 , $9.64 ,15,28200003690,28200136909,28200036902,27574,28.7,0,0,0,0,0,10,10,10,CIG,,,,
109231,0,1000,NEWPORT NON MENT RED BX KS,26100006568,CAR,,00010 EA,10 CAR,30,0.6, $75.99 , $7.60 , $9.34 ,18.6,26100006568,26100806564,1.00261E+13,32434,28.7,0,0,0,0,0,10,10,10,CIG,,,,
109249,0,1000,NEWPORT NON MENT RED BX 100,26100006575,CAR,,00010 EA,10 CAR,30,0.63, $75.99 , $7.60 , $9.34 ,18.6,26100006575,26100806571,1.00261E+13,32439,28.7,0,0,0,0,0,10,10,10,CIG,,,,
110148,0,1000,CAMEL CRUSH MENTHOL BOX,12300000932,CAR,,00010 EA,10 CAR,30,0.6, $81.89 , $8.18 , $9.94 ,17.6,12300000932,12300193139,12300305952,30721,28.7,0,0,0,0,0,10,10,10,CIG,,,,
110155,0,1000,CAMEL CRUSH MENTHOL SILVER KS BX,12300000949,CAR,,00010 EA,10 CAR,30,0.6, $81.89 , $8.18 , $9.94 ,17.6,12300000949,12300194136,12300305969,30722,28.7,0,0,0,0,0,10,10,10,CIG,,,,
110676,0,1200,MAVERICK MENTHOL BOX 100,90500000518,CAR,,00010 EA,10 CAR,30,0.63, $69.34 , $6.93 , $8.44 ,17.8,90500000518,90500100041,90500200048,32484,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111336,0,1000,MARLBORO SILVER KS BX,28200004772,CAR,,00010 EA,10 CAR,60,1.2, $81.09 , $8.10 , $9.64 ,15.9,28200004772,28200147707,28200047700,27559,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111344,0,1000,MARLBORO SILVER BOX 100,28200004789,CAR,,00010 EA,10 CAR,60,1.26, $81.94 , $8.19 , $9.64 ,15,28200004789,28200147806,28200047809,27577,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111856,0,1000,MARLBORO MENTHOL BX 100,28200003645,CAR,,00010 EA,10 CAR,30,0.63, $81.94 , $8.19 , $9.64 ,15,28200003645,28200136404,28200036469,27575,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111948,0,1000,MARLBORO MENTHOL BOX,28200003614,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200003614,28200136107,28200036100,27535,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111955,0,1000,MARLBORO SPECIAL BLEND GOLD KS BOX,28200004222,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200004222,28200142207,28200042200,27541,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111963,0,1000,MARLBORO SPECIAL BLEND RED KS BOX,28200005656,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200005656,28200156501,28200056566,27540,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111971,0,1000,MARLBORO SPECIAL BLEND RED 100 BX,28200005687,CAR,,00010 EA,10 CAR,60,1.26, $81.09 , $8.10 , $9.64 ,15.9,28200005687,28200156808,28200056801,27544,28.7,0,0,0,0,0,10,10,10,CIG,,,,
111989,0,1000,MARLBORO SPECIAL BLEND GOLD 100 BX,28200004239,CAR,,00010 EA,10 CAR,60,1.26, $81.09 , $8.10 , $9.64 ,15.9,28200004239,28200142306,28200042309,27545,28.7,0,0,0,0,0,10,10,10,CIG,,,,
112029,0,1000,MARLBORO BLACK,28200009524,CAR,,00010 EA,10 CAR,60,1.2, $81.94 , $8.19 , $9.64 ,15,28200009524,28200195203,28200095206,27529,28.7,0,0,0,0,0,10,10,10,CIG,,,,
112037,0,1200,MAVERICK RED 100 BX,90500000389,CAR,,00010 EA,10 CAR,30,0.63, $69.34 , $6.93 , $8.44 ,17.8,90500000389,90500100003,90500200000,32486,28.7,0,0,0,0,0,10,10,10,CIG,,,,
112052,0,1000,MARLBORO BLACK 100,28200009531,CAR,,00010 EA,10 CAR,60,1.26, $81.94 , $8.19 , $9.64 ,15,28200009531,28200195302,28200095305,27550,28.7,0,0,0,0,0,10,10,10,CIG,,,,
113894,0,1200,PALL MALL RED BX 100 FILTER,27200008674,CAR,,00010 EA,10 CAR,60,0.63, $77.74 , $7.77 , $9.44 ,17.7,27200008674,27200018673,27200331543,30163,28.7,0,0,0,0,0,10,10,10,CIG,,,,
113902,0,1200,PALL MALL BLUE BX 100,27200008629,CAR,,00010 EA,10 CAR,60,0.63, $77.74 , $7.77 , $9.44 ,17.7,27200008629,27200018628,27200331529,30164,28.7,0,0,0,0,0,10,10,10,CIG,,,,
113910,0,1200,PALL MALL MENTHOL 100 BX,27200008650,CAR,,00010 EA,10 CTN,60,0.63, $77.74 , $7.77 , $9.44 ,17.7,27200008650,27200018659,27200014439,30167,28.7,0,0,0,0,0,10,10,10,CIG,,,,
115014,0,1000,MARLBORO BLEND NO. 27 BOX,28200002648,CAR,,00010 EA,10 CAR,60,1.2, $81.09 , $8.10 , $9.64 ,15.9,28200002648,28200126405,28200026408,27537,28.7,0,0,0,0,0,10,10,10,CIG,,,,
115394,0,1200,PALL MALL ORANGE 100 BX,27200001859,CAR,,00010 EA,10 CAR,60,0.63, $77.74 , $7.77 , $9.44 ,17.7,27200001859,27200731527,2720001437,30168,28.7,0,0,0,0,0,10,10,10,CIG,,,,
115998,0,1000,MARLBORO SMOOTH BX,28200003232,CAR,,00010 EA,10 CAR,30,0.6, $81.94 , $8.19 , $9.64 ,15,28200003232,28200132307,28200032362,27618,28.7,0,0,0,0,0,10,10,10,CIG,,,,
116525,0,1000,CAMEL CRUSH BOX FSC,12300197410,CAR,,00010 EA,10 CAR,60,0.6, $81.89 , $8.18 , $9.94 ,17.6,12300197410,12300197403,12300122078,30711,28.7,0,0,0,0,0,10,10,10,CIG,,,,
117507,0,1000,MARLBORO 83'S BOX,28200318527,CAR,,00010 EA,10 CAR,30,0.6, $81.94 , $8.19 , $9.64 ,15,28200318527,28200318510,28200318565,27555,28.7,0,0,0,0,0,10,10,10,CIG,,,,
117655,0,1000,MARLBORO NXT BOX,28200317728,CAR,,00010 EA,10 CAR,30,0.6, $81.94 , $8.19 , $9.64 ,15,28200317728,28200317711,28200317766,27553,28.7,0,0,0,0,0,10,10,10,CIG,,,,
200154,0,2420,BACKWOODS SINGLES SWEET AROMATIC,71610301986,BOX,,00024 EA,24PK,25,0.44, $29.20 , $1.22 , $1.89 ,35.6,71610301986,71610301993,71610302006,,10.25,0,0,0,0,0,20,24,20,TOB,,,,
200162,0,2455,BACKWOODS SINGLES HONEY BERRY,71610302037,BOX,,00024 EA,24PK,25,0.44, $29.20 , $1.22 , $1.89 ,35.6,71610302037,71610302044,71610302051,,10.25,0,0,0,0,0,20,24,20,TOB,,,,
200188,0,2420,DUTCH M CIGARILLO 20/3PK PALMA,71610499492,BOX,,00020 EA,20 3PK,15,0.61, $44.45 , $2.22 , $2.79 ,20.3,71610499492,71610499508,71610499515,22141,15.6,0,0,0,0,0,20,20,20,TOB,,,,
200197,0,2880,B1G1F 4 ACES PIPE TURK PCH DIS,,BOX,,00006 EA,6 BOX,12,0, $9.74 , $1.62 , $2.09 ,22.3,,77170101974,1.00772E+13,0T0197,3.42,0,0,0,0,0,20,6,20,TOB,,,,
200303,0,2700,DRUM CIGARETTE TOB POCKET,77170460019,BOX,,00012 EA,12 SLE,12,1.53, $95.31 , $7.95 , $12.99 ,38.9,77170460019,1.00772E+13,2.00772E+13,23924,33.45,0,0,0,0,0,20,12,20,TOB,,,,
200477,0,2735,TOP POUCH FULL FLAVOR RED 12CT,77170465373,BOX,,00012 EA,12 SLE,12,1, $51.63 , $4.30 , $6.99 ,38.5,77170465373,77170465366,1.00772E+13,23930,18.12,0,0,0,0,0,20,12,20,TOB,,,,
200972,0,2420,SMOKERS CHOICE 3 FOR 99 NATURAL,7.89503E+11,BOX,,00015 EA,15 3PK,24,0.5, $12.17 , $0.81 , $0.79 ,002.7-,7.89503E+11,7.89503E+11,7.89503E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201202,0,2420,SHOW 5 FOR $1 SPIRAL BA BOOM,8.58765E+11,BOX,,00015 EA,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201210,0,2420,SHOW 5 FOR $1 SPIRAL BLACK NATURAL,8.58765E+11,BOX,,00015 EA,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201236,0,2420,SHOW 5 FOR $1 SPIRAL OG KUSH,8.58765E+11,BX,,00015 EAC,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201244,0,2420,SHOW 5 FOR $1 SPIRAL SWEET,8.58765E+11,BX,,00015 EAC,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201251,0,2420,SHOW 5 FOR $1 SPIRAL TATA,8.58765E+11,BX,,00015 EAC,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201269,0,2420,SHOW 5 FOR $1 SPIRAL WHITE GRAPE,8.58765E+11,BX,,00015 EAC,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201277,0,2420,SHOW 5 FOR $1 SPIRAL SILVER ZERO,8.58765E+11,BOX,,00015 EA,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
201335,0,2525,SKOAL BANDIT WINTERGREEN GRN,73100001901,SLE,,00005 EA,05 SLE,18,0.25, $31.15 , $6.23 , $9.19 ,32.2,73100001901,73100011948,73100300189,,10.93,0,0,0,0,0,20,5,20,TOB,,,,
201459,0,2035,XXL BLUNTWRAP BLUEBERRY 25/2,6.19682E+11,BOX,,00025 EA,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20284,0,0,0,0,0,0,20,25,20,TOB,,,,
201467,0,2035,XXL BLUNTWRAP NAKED 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20279,0,0,0,0,0,0,20,25,20,TOB,,,,
201475,0,2000,ZIG ZAG KUTCORNER WHITE,8660000040,BOX,,00024 EA,24 BOX,25,0.31, $34.25 , $1.43 , $1.99 ,28.3,8660000040,8660007421,1.00087E+13,20182,0,0,0,0,0,0,30,24,30,SMAK,,,,
201533,0,2000,ZIG ZAG WHITE,8660000019,BOX,,00024 EA,24 BOX,25,0.33, $34.25 , $1.43 , $1.99 ,28.3,8660000019,8660007025,1.00087E+13,20175,0,0,0,0,0,0,30,24,30,SMAK,,,,
201541,0,2000,ZIG ZAG FRENCH ORANGE,8660000026,BOX,,00024 EA,24 BOX,25,0.23, $34.25 , $1.43 , $1.99 ,28.3,8660000026,8660007247,1.00087E+13,20178,0,0,0,0,0,0,30,24,30,SMAK,,,,
201624,0,2035,XXL BLUNTWRAP OGK (KUSH) 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20283,0,0,0,0,0,0,20,25,20,TOB,,,,
201632,0,2035,XXL BLUNTWRAP PEACH 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20285,0,0,0,0,0,0,20,25,20,TOB,,,,
