Category Code,Category Description,Retail UPC,Case UPC,GTIN, Vendor Item Number,Pack,Size,Description
,AQ WTR,012000002090,012000002090,,31609 ,PPK12,1.5L PL ,AQ WTR
,BRSK SWL,012000810091,012000810091,,83789 ,PPK24,12OZ CN ,BRSK SWL
,CRSH ORG,078000013054,078000013054,,133065 ,PPK24,12OZ CN ,CRSH ORG
,DT PEPSI,012000809958,012000809958,,83775 ,PPK24,12OZ CN ,DT PEPSI
,DT PEPSI,012000171864,012000171864,,83775 ,PPK24,12OZ CN ,DT PEPSI
,MDEW,012000809965,012000809965,,83776 ,PPK24,12OZ CN ,MDEW
,PEPSI,012000809941,012000809941,,83774 ,PPK24,12OZ CN ,PEPSI
,PEPSI NXT,012000150296,012000150296,,130884 ,PPK24,12OZ CN ,PEPSI NXT
,SRMIST NAT LL,012000227165,012000227165,,125648 ,PPK24,12OZ CN ,SRMIST NAT LL
,PEPSI MEX,012000620362,012000620362,,126213 ,PPK24,12OZ LNK NR ,PEPSI MEX
,MAN SOL APL,012000110344,012000110344,,137574 ,PPK24,12OZ LNK NR ,MAN SOL APL
,FRAP DLC DE LECHE,012000162787,012000162787,,159701 ,PPK12,13.7OZ NR ,FRAP DLC DE LECHE
,FRAP COF,012000001802,012000001802,,69806 ,PPK12,13.7OZ NR ,FRAP COF
,FRAP CRML,012000016721,012000016721,,136599 ,PPK12,13.7OZ NR ,FRAP CRML
,FRAP MCH,012000004520,012000004520,,69807 ,PPK12,13.7OZ NR ,FRAP MCH
,FRAP VAN,012000813313,012000813313,,88159 ,PPK12,13.7OZ NR ,FRAP VAN
,FRAP WHCHOC MCH,012000151095,012000151095,,154902 ,PPK12,13.7OZ NR ,FRAP WHCHOC MCH
,FRAP MCH CNUT,012000044786,012000044786,,147591 ,PPK12,13.7OZ NR ,FRAP MCH CNUT
,FRAP SMRS,012000044779,012000044779,,147596 ,PPK12,13.7OZ NR ,FRAP SMRS
,MU MLK BAN CRM,876063002035,876063002035,,109765 ,PPK12,14OZ PL ,MU MLK BAN CRM
,MU MLK CHOC,876063002011,876063002011,,109763 ,PPK12,14OZ PL ,MU MLK CHOC
,MU MLK CHOC MALT,876063002080,876063002080,,109767 ,PPK12,14OZ PL ,MU MLK CHOC MALT
,MU MLK CKIES CRM,876063002042,876063002042,,109766 ,PPK12,14OZ PL ,MU MLK CKIES CRM
,MU MLK LT CAF LAT,876063002349,876063002349,,128205 ,PPK12,14OZ PL ,MU MLK LT CAF LAT
,MU MLK LT CHOC,876063002318,876063002318,,109769 ,PPK12,14OZ PL ,MU MLK LT CHOC
,MU MLK STW CRM,876063002097,876063002097,,109768 ,PPK12,14OZ PL ,MU MLK STW CRM
,MUSL MLK CHC UCLA,876063002011,876063002011,,126942 ,PPK12,14OZ PL ,MUSL MLK CHC UCLA
,MUSL MLK CHOC USC,876063002011,876063002011,,126943 ,PPK12,14OZ PL ,MUSL MLK CHOC USC
