ROCKSTAR PRODUCT CODES,,,,,,,,,,
Manufacturer,Description,Size,Can,UNIT UPC,Size,Package,Case Quantity ,Case UPC,Rockstar 1/12,Rockstar 12/1
ROCKSTAR,Original,16oz,Single,8 18094 00577 7,16oz,Loose,12,8 18094 00012 3,197779,121395
ROCKSTAR,Punched,16oz,Single,8 18094 00574 6,16oz,Loose,12,8 18094 00600 6,197259,197258
ROCKSTAR,Sugar Free,16oz,Single,8 18094 00575 3,16oz,Loose,12,8 18094 00019 2,197257,197253
ROCKSTAR,Pure Zero Silver,16oz,Single,8 18094 00580 7,16oz,Loose,12,8 18094 00662 0,197261,197260
ROCKSTAR,Pure Zero Punch,16oz,Single,8 18094 00581 4,16oz,Loose,12,8 18094 00663 7,198657,198656
ROCKSTAR,Pure Zero TMGS,16oz,Single,8 18094 00583 8,16oz,Loose,12,8 18094 00665 1,198661,198660
ROCKSTAR,Pure Zero Grape,16oz,Single,8 18094 00585 2,16oz,Loose,12,8 18094 00667 5,198596,198597
ROCKSTAR,Pure Zero Mandarin,16oz,Single,8 18094 00582 1,16oz,Loose,12,8 18094 00664 4,198582,198583
ROCKSTAR,Zero Carb,16oz,Single,8 18094 00576 0,16oz,Loose,12,8 18094 00659 0,198524,198523
ROCKSTAR,XD Cotton Candy,16oz,Single,8 18094 00591 3,16oz,Loose,12,8 18094 00674 3,198575,198576
ROCKSTAR,XD Sour Apple,16oz,Single,8 18094 00593 7,16oz,Loose,12,8 18094 00676 7,198577,198578
ROCKSTAR,XD Blue Raz,16oz,Single,8 18094 00594 4,16oz,Loose,12,8 18094 00677 4,198636,198635
ROCKSTAR,XD Kiwi Strawberry,16oz,Single,8 18094 00592 0,16oz,Loose,12,8 18094 00675 0,198598,198599
ROCKSTAR,JUICED Island Mango,16oz,Single,8 18094 00691 0,16oz,Loose,12,8 18094 00670 5,198653,198652
ROCKSTAR,JUICED Pineapple Orange Guava,16oz,Single,8 18094 00650 7,16oz,Loose,12,8 18094 00669 9,198665,198664
ROCKSTAR,Recovery Orange,16oz,Single,8 18094 00579 1,16oz,Loose,12,8 18094 00661 3,198579,198580
ROCKSTAR,Recovery Lemonade,16oz,Single,8 18094 00578 4,16oz,Loose,12,8 18094 00568 5,125576,125577
ROCKSTAR,Strawberry Boom,16oz,Single,8 18094 00589 0,16oz,Loose,12,8 18094 00673 6,198593,198594
ROCKSTAR,Orange Boom,16oz,Single,8 18094 00588 3,16oz,Loose,12,8 18094 00672 9,198638,198637
ROCKSTAR,Hardcore Apple,16oz,Single,8 18094 00590 6,16oz,Loose,12,8 18094 00683 5,198615,198616
ROCKSTAR,Samurai Cola,16oz,Single,8 18094 00681 1,16oz,Loose,12,8 18094 00682 8,197083,197082
,Organic Island Fruit,16oz,Single,8 18094 00586 9,16oz,Loose,12,8 18094 00668 2,198634,198633
