Ware House ,CATegory ,trepco #,DESC,STD Unite of Meassur ,UM1,UM1 X,UM2,UM2 X,UM3,UM3 X,VENDer's  ITEM #,UPC1 EA,UPC2 BX / CS,UPC3  CS
1,10,129014,EAGLE BLUE 100 BX,2 - box,EA,1,CAR,10,CSE,30,28730,011000002871,011000287087,011000287308
1,10,129016,EAGLE MENTHOL GOLD 100 BX,3,EA,1,CAR,10,CSE,30,29330,011000002932,011000293101,011000293309
1,10,129013,EAGLE RED 100 BX,2,EA,1,CAR,10,CSE,30,28830,011000002888,011000288084,011000288305
1,10,101956,EVE AMETHYST (RED) 120 BX,2,EA,1,CAR,10,CSE,30,12610,011000002970,011000126096,011000126102
1,10,101964,EVE EMERALD MENTHOL 120 BX,2,EA,1,CAR,10,CSE,30,12612,011000002987,011000126119,011000126126
1,10,115907,GRAND PRIX BLUE BOX 100,2,EA,1,CAR,10,CSE,30,9563,011000006381,011000106388,00011000956303
1,10,115915,GRAND PRIX MENTHOL SILVER 100 BX,2,EA,1,CAR,10,CSE,30,96230,011000006404,011000106401,011000962304
1,10,116814,GRAND PRIX NF LIP,2,EA,1,CAR,10,CSE,30,95030,011000006282,011000106289,011000950301
1,10,116731,GRAND PRIX ORANGE BX 100,2,EA,1,CAR,10,CSE,30,95830,011000006428,011000106425,011000958307
1,10,115899,GRAND PRIX RED BOX 100,2,EA,1,CAR,10,CSE,30,95330,011000006329,011000106326,011000953302
1,10,101618,MONTEGO BLUE 100 BOX,2,EA,1,CAR,10,CSE,30,62330,011000000037,011000010036,00011000623304
1,10,102392,MONTEGO MENTHOL GOLD 100 BOX,2,EA,1,CAR,10,CSE,30,62830,011000000617,011000010616,
1,10,101634,MONTEGO MENTHOL SILVER 100 BOX,2,EA,1,CAR,10,CSE,30,62730,011000000631,011000010609,00011000627302
1,10,101626,MONTEGO ORANGE 100 BOX,2,EA,1,CAR,10,CSE,30,62430,011000000044,011000010043,00011000624301
1,10,101592,MONTEGO RED 100 BOX,2,EA,1,CAR,10,CSE,30,62130,011000000020,011000010029,00011000621300
1,10,117085,PYRAMID BLUE BX 100 LT,2,EA,1,CAR,10,CSE,30,40630,011000004066,011000104063,011000406303
1,10,129088,PYRAMID NON-FILTER BX,2,EA,1,CAR,10,CSE,30,49630,011000004059,011000405085,011000496304
1,10,117093,PYRAMID ORANGE BX 100 ULT LT,2,EA,1,CAR,10,CSE,30,41330,011000004134,011000104131,011000413301
1,10,117077,PYRAMID RED BX 100 FF,2,EA,1,CAR,10,CSE,30,40830,011000004080,011000104087,011000408307
1,10,100560,USA GOLD GLIDE TEC  GOLD KS BOX,2,EA,1,CAR,10,CSE,30,39821,090600000210,090600301218,09060039821
1,10,109272,BASIC BOX,2,EA,1,CAR,10,CSE,30,30376,028200303721,028200303714,00028200303769
1,10,101733,BENSON & HEDGES DELUXE BX,2,EA,1,CAR,10,CSE,30,7296,028200007292,028200172907,00028200072962
1,10,101741,BENSON & HEDGES DELUXE MENTHOL BX,2,EA,1,CAR,10,CSE,30,7306,028200007308,028200173003,00028200073068
1,10,103465,BENSON & HEDGES LUXURY BX,2,EA,1,CAR,10,CSE,30,7276,028200007278,028200172709,00028200072764
1,10,103473,BENSON & HEDGES LUXURY MENT BX,2,EA,1,CAR,10,CSE,30,7286,028200007285,028200172808,00028200072863
1,10,101725,BENSON & HEDGES PREM MENT BX,2,EA,1,CAR,10,CSE,30,7236,028200007230,028200172365,00028200072368
1,10,101717,BENSON & HEDGES PREMIUM BX,2,EA,1,CAR,10,CSE,30,7226,028200007223,028200172266,00028200072269
1,10,103036,CHESTERFIELD BLUE 100 BOX,2,EA,1,CAR,10,CSE,30,33086,028200330826,028200330819,00028200330864
1,10,103069,CHESTERFIELD BLUE BOX,2,EA,1,CAR,10,CSE,30,33076,028200330727,028200330710,00028200330765
1,10,103051,CHESTERFIELD BOX,2,EA,1,CAR,10,CSE,30,33026,028200330222,028200330215,00028200330260
1,10,103044,CHESTERFIELD MENTHOL 100 BOX,2,EA,1,CAR,10,CSE,30,33056,028200330529,028200330512,00028200330567
1,10,103077,CHESTERFIELD MENTHOL BOX,2,EA,1,CAR,10,CSE,30,33046,028200330420,028200330413,00028200330468
1,10,106914,L&M 100 BOX,2,EA,1,CAR,10,CSE,60,30990,028200309921,028200309914,00028200309907
