10475,,,,,
Forecasted Items,,,,,
Generic PDCN,Brand Family,Brand,Container,UPC Unit,UPC Case
1103168,KIRIN,KIRIN ICHIBAN,24/12 AL CAN SP,40063103515,40063103607
1103451,KIRIN,KIRIN ICHIBAN,15/22 NR BTL ET,40063175017,40063175055
1103891,KIRIN,KIRIN ICHIBAN,24/12 NRLN 4/6 ET BSKT,40063000098,40063175406
1103898,KIRIN,KIRIN ICHIBAN,24/12 AL CAN 2/12 SP CF,40063103515,40063101405
1103930,KIRIN,KIRIN ICHIBAN,1/4 BARREL SV,40063190010,0
1103940,KIRIN,KIRIN ICHIBAN,1/2 BARREL SV,40063190058,0
1105451,KIRIN,KIRIN LIGHT,15/22 NR BTL ET,40063116614,40063116607
1105891,KIRIN,KIRIN LIGHT,24/12 NRLN 4/6 ET BSKT,40063000074,40063116706
1109251,BUDWEISER,BUD LIGHT ORANGE,15/25 AL CAN SRINK,18200259104,18200284342
1111030,BUDWEISER,Budweiser,30/12 AL CAN SP DSTK,18200000164,18200110306
1111034,BUDWEISER,Budweiser,24/12 AL CAN 4/6 SP TRAY,18200000164,18200110344
1111036,BUDWEISER,Budweiser,24/12 NRLN 4/6 ET BSKT,18200001680,18200110368
1111043,BUDWEISER,Budweiser,24/16 AL CAN 4/6 SP TRAY,18200000188,18200110436
1111127,BUDWEISER,Budweiser,12/40 NR BTL TE,18200001260,18200111273
1111192,BUDWEISER,Budweiser,15/25 AL CAN 5/3 SHRINK,18200250002,18200111921
1111218,BUDWEISER,Budweiser,18/12 AL CAN SP,18200000164,18200112188
1111246,BUDWEISER,Budweiser,24/12 AL CAN 2/12 SP CF,18200000164,18200112461
1111251,BUDWEISER,Budweiser,15/25 AL CAN SRINK,18200250002,18200112515
1111308,BUDWEISER,Budweiser,18/12 LN NR BTL EL,18200001680,18200113086
1111352,BUDWEISER,Budweiser,20/12 AL CAN SP,18200000164,18200113529
1111360,BUDWEISER,Budweiser,24/12 NRLN 2/12 TGTR,18200001680,18200113604
1111525,BUDWEISER,Budweiser,20/12 LN NR BTL LS PREPN,18200001680,18200110252
1111716,BUDWEISER,Budweiser,36/12 AL CAN SP DSTK,18200000164,18200117169
1111940,BUDWEISER,Budweiser,1/2 BARREL SV,18200005008,0
1111970,BUDWEISER,Budweiser,1/6 BARREL SV,18200006944,0
1115030,NATURAL LIGHT,NATURAL LIGHT,30/12 AL CAN SP DSTK,18200000317,18200150302
1115032,NATURAL LIGHT,NATURAL LIGHT,12/32 NR BTL TE,18200004162,18200150326
1115044,NATURAL LIGHT,NATURAL LIGHT,24/16 AL CAN 6/4 SP TRAY,18200005442,18200150449
1115182,NATURAL LIGHT,NATURAL LIGHT,18/16 AL CAN SP,18200000430,18200151828
1115192,NATURAL LIGHT,NATURAL LIGHT,15/25 AL CAN 5/3 SHRINK,18200250026,18200151927
1115246,NATURAL LIGHT,NATURAL LIGHT,24/12 AL CAN 2/12 SP CF,18200000317,18200152467
1115251,NATURAL LIGHT,NATURAL LIGHT,15/25 AL CAN SRINK,18200250026,18200152511
1115940,NATURAL LIGHT,NATURAL LIGHT,1/2 BARREL SV,18200006050,0
